,id,name,picture_url
0,1009447,Mister Sinister,http://i.annihil.us/u/prod/marvel/i/mg/5/80/526034ac3c53a.jpg
1,1017318,Mister Sinister (Deadpool),http://i.annihil.us/u/prod/marvel/i/mg/e/10/5239c24883863.jpg
2,1010948,Mister Sinister (House of M),http://i.annihil.us/u/prod/marvel/i/mg/f/00/4c00340427a12.jpg
3,1011254,Mister Sinister (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
4,1010682,Misty Knight,http://i.annihil.us/u/prod/marvel/i/mg/d/90/511151789a863.jpg
5,1011220,Mockingbird,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/51e829af23af9.jpg
6,1009410,Moira MacTaggert,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/4c003d5e64f22.jpg
7,1010941,Moira MacTaggert (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/8/d0/4c7c640312deb.jpg
8,1009448,Mojo,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/4c003d3444dce.jpg
9,1009449,Mole Man,http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c003d3176a50.jpg
10,1011019,Molecule Man,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/528d33c2a72b2.jpg
11,1010691,Molly Hayes,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4c0037783e8b3.jpg
12,1009541,Molly Von Richtofen,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
13,1011370,Molten Man,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/4c002e34d7cdc.jpg
14,1010876,Mongoose,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c00359f53bde.jpg
15,1009450,Mongu (Unrevealed),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
16,1010331,Monster Badoon,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
17,1017814,Moon Girl (Lunella Layfayette),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
18,1009452,Moon Knight,http://i.annihil.us/u/prod/marvel/i/mg/3/30/52028af90e516.jpg
19,1010949,Moon Knight (House of M),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
20,1014998,Moon Knight (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
21,1009451,Moondragon,http://i.annihil.us/u/prod/marvel/i/mg/b/a0/4c003d2ebd6c5.jpg
22,1010362,Moonstone,http://i.annihil.us/u/prod/marvel/i/mg/4/00/535ff3e867252.jpg
23,1009454,Morbius,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/535fee11e0e1a.jpg
24,1010902,Mordo,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
25,1009455,Morg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
26,1013190,Morgan Le Fay,http://i.annihil.us/u/prod/marvel/i/mg/f/00/4ce5aa7d1e5e1.jpg
27,1009623,Morgan Stark,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
28,1011008,Morlocks,http://i.annihil.us/u/prod/marvel/i/mg/f/90/537f6cfa0e8bd.jpg
29,1011088,Morlun,http://i.annihil.us/u/prod/marvel/i/mg/3/00/527411be42b48.jpg
30,1009456,Morph,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4ce5a06d6a8ad.jpg
31,1009457,Mother Askani,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
32,1009458,Mr. Bumpo,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
33,1009459,Mr. Fantastic,http://i.annihil.us/u/prod/marvel/i/mg/d/c0/51127e9337538.jpg
34,1010950,Mr. Fantastic (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/3/d0/53176fc75a448.jpg
35,1010900,Mr. Fish,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
36,1009460,Mr. Fixit,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
37,1010347,Mr. Hyde,http://i.annihil.us/u/prod/marvel/i/mg/6/30/4c7c64437b5a1.jpg
38,1010840,Mr. Immortal,http://i.annihil.us/u/prod/marvel/i/mg/2/d0/4c0035d2872f0.jpg
